symbol,timeframe,timestamp,open,high,low,close,volume,spread,complete
XAUUSDm,H1,2025-01-06T00:00:00Z,2630.00000,2631.48248,2629.59600,2631.22248,10842.00,0.19750,true
XAUUSDm,H1,2025-01-06T01:00:00Z,2631.22248,2631.51756,2631.00071,2631.30260,11170.00,0.19917,true
XAUUSDm,H1,2025-01-06T02:00:00Z,2631.30260,2632.47551,2631.13706,2632.31346,11498.00,0.20083,true
XAUUSDm,H1,2025-01-06T03:00:00Z,2632.31346,2632.66070,2631.62650,2632.02983,11326.00,0.20250,true
XAUUSDm,H1,2025-01-06T04:00:00Z,2632.02983,2632.26698,2631.10833,2631.37656,11654.00,0.19833,true
XAUUSDm,H1,2025-01-06T05:00:00Z,2631.37656,2631.77807,2631.12019,2631.49919,11482.00,0.20000,true
XAUUSDm,H1,2025-01-06T06:00:00Z,2631.49919,2631.67127,2630.24468,2630.40571,11810.00,0.20167,true
XAUUSDm,H1,2025-01-06T07:00:00Z,2630.40571,2630.90310,2630.08280,2630.65089,11638.00,0.19750,true
XAUUSDm,H1,2025-01-06T08:00:00Z,2630.65089,2631.52416,2630.45704,2631.11951,11466.00,0.19917,true
XAUUSDm,H1,2025-01-06T09:00:00Z,2631.11951,2631.41208,2630.74331,2631.25015,11294.00,0.20083,true
XAUUSDm,H1,2025-01-06T10:00:00Z,2631.25015,2633.11524,2631.00415,2632.91198,11122.00,0.20250,true
XAUUSDm,H1,2025-01-06T11:00:00Z,2632.91198,2633.69662,2632.72724,2633.43662,11450.00,0.19833,true
XAUUSDm,H1,2025-01-06T12:00:00Z,2633.43662,2634.37067,2633.27451,2634.16823,11278.00,0.20000,true
XAUUSDm,H1,2025-01-06T13:00:00Z,2634.16823,2635.22181,2633.95550,2635.05148,11606.00,0.20167,true
XAUUSDm,H1,2025-01-06T14:00:00Z,2635.05148,2635.21620,2634.06326,2634.29860,11434.00,0.19750,true
XAUUSDm,H1,2025-01-06T15:00:00Z,2634.29860,2634.71111,2633.98741,2634.45935,11762.00,0.19917,true
XAUUSDm,H1,2025-01-06T16:00:00Z,2634.45935,2634.73362,2633.67946,2633.84721,11590.00,0.20083,true
XAUUSDm,H1,2025-01-06T17:00:00Z,2633.84721,2634.01904,2632.78666,2633.02306,11418.00,0.20250,true
XAUUSDm,H1,2025-01-06T18:00:00Z,2633.02306,2633.86126,2632.79185,2633.60885,11246.00,0.19833,true
XAUUSDm,H1,2025-01-06T19:00:00Z,2633.60885,2633.88362,2633.06060,2633.31122,11074.00,0.20000,true
XAUUSDm,H1,2025-01-06T20:00:00Z,2633.31122,2634.39918,2633.09081,2634.23735,11402.00,0.20167,true
XAUUSDm,H1,2025-01-06T21:00:00Z,2634.23735,2635.70065,2634.07549,2635.49702,11230.00,0.19750,true
XAUUSDm,H1,2025-01-06T22:00:00Z,2635.49702,2635.84147,2635.01583,2635.29324,11558.00,0.19917,true
XAUUSDm,H1,2025-01-06T23:00:00Z,2635.29324,2636.39520,2635.04663,2636.19313,11386.00,0.20083,true
XAUUSDm,H1,2025-01-07T00:00:00Z,2636.19313,2636.46975,2635.51918,2635.71751,11714.00,0.20250,true
XAUUSDm,H1,2025-01-07T01:00:00Z,2635.71751,2635.88240,2634.79974,2634.95974,11542.00,0.19833,true
XAUUSDm,H1,2025-01-07T02:00:00Z,2634.95974,2635.36846,2634.44812,2634.64626,11370.00,0.20000,true
XAUUSDm,H1,2025-01-07T03:00:00Z,2634.64626,2634.89343,2632.64579,2632.90021,11198.00,0.20167,true
XAUUSDm,H1,2025-01-07T04:00:00Z,2632.90021,2633.07180,2632.12345,2632.38761,11026.00,0.19750,true
XAUUSDm,H1,2025-01-07T05:00:00Z,2632.38761,2632.58656,2631.63523,2631.81622,11354.00,0.19917,true
XAUUSDm,H1,2025-01-07T06:00:00Z,2631.81622,2632.07212,2630.90146,2631.08437,11182.00,0.20083,true
XAUUSDm,H1,2025-01-07T07:00:00Z,2631.08437,2632.14116,2630.91843,2631.97943,11510.00,0.20250,true
XAUUSDm,H1,2025-01-07T08:00:00Z,2631.97943,2632.26297,2631.62943,2631.88921,11338.00,0.19833,true
XAUUSDm,H1,2025-01-07T09:00:00Z,2631.88921,2632.66255,2631.58847,2632.40257,11666.00,0.20000,true
XAUUSDm,H1,2025-01-07T10:00:00Z,2632.40257,2633.31727,2632.18167,2633.06525,11494.00,0.20167,true
XAUUSDm,H1,2025-01-07T11:00:00Z,2633.06525,2633.26001,2632.04396,2632.21790,11322.00,0.19750,true
XAUUSDm,H1,2025-01-07T12:00:00Z,2632.21790,2632.47150,2631.93390,2632.23958,11150.00,0.19917,true
XAUUSDm,H1,2025-01-07T13:00:00Z,2632.23958,2632.47768,2630.88477,2631.14268,10978.00,0.20083,true
XAUUSDm,H1,2025-01-07T14:00:00Z,2631.14268,2631.38960,2629.56170,2629.76907,11306.00,0.20250,true
XAUUSDm,H1,2025-01-07T15:00:00Z,2629.76907,2629.94612,2629.32953,2629.49039,11134.00,0.19833,true
XAUUSDm,H1,2025-01-07T16:00:00Z,2629.49039,2629.67452,2628.01515,2628.20466,11462.00,0.20000,true
XAUUSDm,H1,2025-01-07T17:00:00Z,2628.20466,2628.52726,2627.74898,2628.29781,11290.00,0.20167,true
XAUUSDm,H1,2025-01-07T18:00:00Z,2628.29781,2628.91651,2628.04515,2628.69655,11618.00,0.19750,true
XAUUSDm,H1,2025-01-07T19:00:00Z,2628.69655,2628.85687,2628.22044,2628.51804,11946.00,0.19917,true
XAUUSDm,H1,2025-01-07T20:00:00Z,2628.51804,2630.47183,2628.33405,2630.21186,11274.00,0.20083,true
XAUUSDm,H1,2025-01-07T21:00:00Z,2630.21186,2630.88777,2630.04948,2630.58649,11102.00,0.20250,true
XAUUSDm,H1,2025-01-07T22:00:00Z,2630.58649,2631.05964,2630.29606,2630.89713,11430.00,0.19833,true
XAUUSDm,H1,2025-01-07T23:00:00Z,2630.89713,2631.68839,2630.48726,2631.41118,11258.00,0.20000,true
XAUUSDm,H1,2025-01-08T00:00:00Z,2631.41118,2631.64959,2630.16916,2630.34262,11586.00,0.20167,true
XAUUSDm,H1,2025-01-08T01:00:00Z,2630.34262,2630.58928,2630.01042,2630.34946,11414.00,0.19750,true
XAUUSDm,H1,2025-01-08T02:00:00Z,2630.34946,2630.56536,2629.53169,2629.92442,11742.00,0.19917,true
XAUUSDm,H1,2025-01-08T03:00:00Z,2629.92442,2630.10888,2629.07106,2629.39526,11570.00,0.20083,true
XAUUSDm,H1,2025-01-08T04:00:00Z,2629.39526,2630.67160,2629.13645,2630.44250,11898.00,0.20250,true
XAUUSDm,H1,2025-01-08T05:00:00Z,2630.44250,2630.86702,2630.23154,2630.60172,11226.00,0.19833,true
XAUUSDm,H1,2025-01-08T06:00:00Z,2630.60172,2631.94994,2630.44008,2631.74518,11054.00,0.20000,true
XAUUSDm,H1,2025-01-08T07:00:00Z,2631.74518,2633.35686,2631.55889,2633.09690,11382.00,0.20167,true
XAUUSDm,H1,2025-01-08T08:00:00Z,2633.09690,2633.40553,2632.84969,2633.20459,11210.00,0.19750,true
XAUUSDm,H1,2025-01-08T09:00:00Z,2633.20459,2634.40920,2632.95337,2634.24657,11538.00,0.19917,true
XAUUSDm,H1,2025-01-08T10:00:00Z,2634.24657,2634.58328,2633.78300,2633.94301,11366.00,0.20083,true
XAUUSDm,H1,2025-01-08T11:00:00Z,2633.94301,2634.18173,2633.13068,2633.34329,11694.00,0.20250,true
XAUUSDm,H1,2025-01-08T12:00:00Z,2633.34329,2633.75632,2633.13881,2633.47283,11522.00,0.19833,true
XAUUSDm,H1,2025-01-08T13:00:00Z,2633.47283,2633.64370,2632.15569,2632.39778,11850.00,0.20000,true
XAUUSDm,H1,2025-01-08T14:00:00Z,2632.39778,2632.96085,2632.04126,2632.70766,11178.00,0.20167,true
XAUUSDm,H1,2025-01-08T15:00:00Z,2632.70766,2633.44214,2632.53166,2633.17294,11006.00,0.19750,true
XAUUSDm,H1,2025-01-08T16:00:00Z,2633.17294,2633.51886,2632.88292,2633.35742,11334.00,0.19917,true
XAUUSDm,H1,2025-01-08T17:00:00Z,2633.35742,2635.25545,2633.13394,2635.05031,11162.00,0.20083,true
XAUUSDm,H1,2025-01-08T18:00:00Z,2635.05031,2635.62630,2634.79034,2635.08839,11490.00,0.20250,true
XAUUSDm,H1,2025-01-08T19:00:00Z,2635.08839,2635.59515,2634.80848,2635.39457,11318.00,0.19833,true
XAUUSDm,H1,2025-01-08T20:00:00Z,2635.39457,2636.04416,2635.22982,2635.78510,11646.00,0.20000,true
XAUUSDm,H1,2025-01-08T21:00:00Z,2635.78510,2635.95066,2634.33399,2634.56992,11474.00,0.20167,true
XAUUSDm,H1,2025-01-08T22:00:00Z,2634.56992,2634.80895,2633.90697,2634.29260,11802.00,0.19750,true
XAUUSDm,H1,2025-01-08T23:00:00Z,2634.29260,2634.53874,2632.98046,2633.18695,11130.00,0.19917,true
XAUUSDm,H1,2025-01-09T00:00:00Z,2633.18695,2633.35758,2631.78235,2631.94305,10958.00,0.20083,true
XAUUSDm,H1,2025-01-09T01:00:00Z,2631.94305,2632.34131,2631.77379,2632.07235,11286.00,0.20250,true
XAUUSDm,H1,2025-01-09T02:00:00Z,2632.07235,2632.32883,2631.06030,2631.31034,11114.00,0.19833,true
XAUUSDm,H1,2025-01-09T03:00:00Z,2631.31034,2631.98489,2630.96871,2631.82353,11442.00,0.20000,true
XAUUSDm,H1,2025-01-09T04:00:00Z,2631.82353,2632.80492,2631.57878,2632.59574,11270.00,0.20167,true
XAUUSDm,H1,2025-01-09T05:00:00Z,2632.59574,2632.80840,2632.24883,2632.47691,11598.00,0.19750,true
XAUUSDm,H1,2025-01-09T06:00:00Z,2632.47691,2633.65387,2632.31425,2633.45366,11426.00,0.19917,true
XAUUSDm,H1,2025-01-09T07:00:00Z,2633.45366,2633.80066,2632.74936,2633.00769,11754.00,0.20083,true
XAUUSDm,H1,2025-01-09T08:00:00Z,2633.00769,2633.17343,2632.10950,2632.34961,11082.00,0.20250,true
XAUUSDm,H1,2025-01-09T09:00:00Z,2632.34961,2632.65060,2631.90872,2632.08158,10910.00,0.19833,true
XAUUSDm,H1,2025-01-09T10:00:00Z,2632.08158,2632.32746,2630.23296,2630.40169,11238.00,0.20000,true
XAUUSDm,H1,2025-01-09T11:00:00Z,2630.40169,2630.57209,2629.74785,2629.99520,11066.00,0.20167,true
XAUUSDm,H1,2025-01-09T12:00:00Z,2629.99520,2630.20759,2629.20726,2629.46687,11394.00,0.19750,true
XAUUSDm,H1,2025-01-09T13:00:00Z,2629.46687,2629.72349,2628.57413,2628.84277,11722.00,0.19917,true
XAUUSDm,H1,2025-01-09T14:00:00Z,2628.84277,2629.97752,2628.60784,2629.81625,11550.00,0.20083,true
XAUUSDm,H1,2025-01-09T15:00:00Z,2629.81625,2630.11366,2629.59415,2629.77643,11878.00,0.20250,true
XAUUSDm,H1,2025-01-09T16:00:00Z,2629.77643,2631.12466,2629.58936,2630.86475,11706.00,0.19833,true
XAUUSDm,H1,2025-01-09T17:00:00Z,2630.86475,2632.22972,2630.61696,2632.02989,11034.00,0.20000,true
XAUUSDm,H1,2025-01-09T18:00:00Z,2632.02989,2632.22286,2631.52163,2631.72067,11362.00,0.20167,true
XAUUSDm,H1,2025-01-09T19:00:00Z,2631.72067,2632.52636,2631.52931,2632.29275,11190.00,0.19750,true
XAUUSDm,H1,2025-01-09T20:00:00Z,2632.29275,2632.60035,2631.49448,2631.69435,11518.00,0.19917,true
XAUUSDm,H1,2025-01-09T21:00:00Z,2631.69435,2631.93996,2630.63311,2630.89429,11346.00,0.20083,true
XAUUSDm,H1,2025-01-09T22:00:00Z,2630.89429,2631.34526,2630.49300,2631.14664,11674.00,0.20250,true
XAUUSDm,H1,2025-01-09T23:00:00Z,2631.14664,2631.33242,2630.21661,2630.39618,11502.00,0.19833,true
XAUUSDm,H1,2025-01-10T00:00:00Z,2630.39618,2631.30018,2630.17781,2631.07249,11830.00,0.20000,true
XAUUSDm,H1,2025-01-10T01:00:00Z,2631.07249,2632.14368,2630.90568,2631.98250,11658.00,0.20167,true
XAUUSDm,H1,2025-01-10T02:00:00Z,2631.98250,2632.57305,2631.75817,2632.36677,10986.00,0.19750,true
XAUUSDm,H1,2025-01-10T03:00:00Z,2632.36677,2634.31307,2632.10684,2634.05319,11314.00,0.19917,true
XAUUSDm,H1,2025-01-10T04:00:00Z,2634.05319,2634.69104,2633.83402,2634.37862,11142.00,0.20083,true
XAUUSDm,H1,2025-01-10T05:00:00Z,2634.37862,2634.86834,2634.16542,2634.70520,11470.00,0.20250,true
XAUUSDm,H1,2025-01-10T06:00:00Z,2634.70520,2635.46354,2634.52583,2635.17332,11298.00,0.19833,true
XAUUSDm,H1,2025-01-10T07:00:00Z,2635.17332,2635.41327,2633.82947,2634.08685,11626.00,0.20000,true
XAUUSDm,H1,2025-01-10T08:00:00Z,2634.08685,2634.33219,2633.68689,2634.10715,11454.00,0.20167,true
XAUUSDm,H1,2025-01-10T09:00:00Z,2634.10715,2634.31204,2633.47700,2633.63756,11782.00,0.19750,true
XAUUSDm,H1,2025-01-10T10:00:00Z,2633.63756,2633.99622,2632.87771,2633.13460,11610.00,0.19917,true
XAUUSDm,H1,2025-01-10T11:00:00Z,2633.13460,2634.40063,2632.93822,2634.17330,10938.00,0.20083,true
XAUUSDm,H1,2025-01-10T12:00:00Z,2634.17330,2634.51717,2633.91974,2634.30739,11266.00,0.20250,true
XAUUSDm,H1,2025-01-10T13:00:00Z,2634.30739,2635.68493,2634.06329,2635.47827,11094.00,0.19833,true
XAUUSDm,M15,2025-01-06T00:00:00Z,2630.00000,2630.56045,2629.59600,2630.33636,2211.00,0.18667,true
XAUUSDm,M15,2025-01-06T00:15:00Z,2630.33636,2631.00091,2630.07911,2630.75816,2544.00,0.21333,true
XAUUSDm,M15,2025-01-06T00:30:00Z,2630.75816,2631.31727,2630.50886,2631.06177,2877.00,0.19333,true
XAUUSDm,M15,2025-01-06T00:45:00Z,2631.06177,2631.48248,2630.82476,2631.22248,3210.00,0.19667,true
